Game,Date,Series,ThreePointPercentage,Points
199,6/19/16,NBA Finals,0.2,27
200,4/15/17,Eastern Conference 1,0.667,32
201,4/17/17,Eastern Conference 1,0,25
202,4/20/17,Eastern Conference 1,0.5,41
203,4/23/17,Eastern Conference 1,0.333,33
204,5/1/17,Eastern Conference SemiFinals,0.4,35
205,5/3/17,Eastern Conference SemiFinals,0.667,39
206,5/5/17,Eastern Conference SemiFinals,0.5,35
207,5/7/17,Eastern Conference SemiFinals,0.417,35
208,5/17/17,Eastern Conference NBA Finals,0.167,38
209,5/19/17,Eastern Conference NBA Finals,0.667,30
210,5/21/17,Eastern Conference NBA Finals,0,11
211,5/23/17,Eastern Conference NBA Finals,0.167,34
212,5/25/17,Eastern Conference NBA Finals,0.571,35
213,6/1/17,NBA Finals,0.333,28
214,6/4/17,NBA Finals,0.333,29
215,6/7/17,NBA Finals,0.444,39
216,6/9/17,NBA Finals,0.375,31
217,6/12/17,NBA Finals,0.4,41
218,4/15/18,Eastern Conference 1,0,24
219,4/18/18,Eastern Conference 1,0.4,46
220,4/20/18,Eastern Conference 1,0.571,28
221,4/22/18,Eastern Conference 1,0,32
222,4/25/18,Eastern Conference 1,0.25,44
223,4/27/18,Eastern Conference 1,0.5,22
224,4/29/18,Eastern Conference 1,0.667,45
225,5/1/18,Eastern Conference SemiFinals,0.125,26
226,5/3/18,Eastern Conference SemiFinals,0.333,43
227,5/5/18,Eastern Conference SemiFinals,0.25,38
228,5/7/18,Eastern Conference SemiFinals,0,29
229,5/13/18,Eastern Conference NBA Finals,0,15
230,5/15/18,Eastern Conference NBA Finals,0.455,42
231,5/19/18,Eastern Conference NBA Finals,1,27
232,5/21/18,Eastern Conference NBA Finals,0.25,44
233,5/23/18,Eastern Conference NBA Finals,0.167,26
234,5/25/18,Eastern Conference NBA Finals,0.714,46
235,5/27/18,Eastern Conference NBA Finals,0.375,35
236,5/31/18,NBA Finals,0.429,51
237,6/3/18,NBA Finals,0.5,29
238,6/6/18,NBA Finals,0.167,33
239,6/8/18,NBA Finals,0,23
240,8/18/20,Western Conference 1,0.2,23
241,8/20/20,Western Conference 1,0,10
242,8/22/20,Western Conference 1,0.5,38
243,8/24/20,Western Conference 1,0.8,30
244,8/29/20,Western Conference 1,0.571,36
245,9/4/20,Western Conference Semifinals,0.286,20
246,9/6/20,Western Conference Semifinals,0.2,28
247,9/8/20,Western Conference Semifinals,0.444,36
248,9/10/20,Western Conference Semifinals,0,16
249,9/12/20,Western Conference Semifinals,0.375,29
250,9/18/20,Western Conference Finals,0,15
251,9/20/20,Western Conference Finals,0.375,26
252,9/22/20,Western Conference Finals,0.25,30
253,9/24/20,Western Conference Finals,0.333,26
254,9/26/20,Western Conference Finals,0.25,38
255,9/30/20,NBA Finals,0.5,25
256,10/2/20,NBA Finals,0.375,33
257,10/4/20,NBA Finals,0.2,25
258,10/6/20,NBA Finals,0.4,28
259,10/9/20,NBA Finals,0.667,40
260,10/11/20,NBA Finals,0.2,28
